id,title,source,price,currency,listing_created_on,is_active,last_modified_timestamp
26,"Bradford, Allen and Harvey",Airbnb,4840.12,USD,2023-02-28,True,2020-10-22
27,Reid-Jones,Airbnb,4118.98,EUR,2021-03-28,False,2023-12-09
28,"Wallace, Davidson and Jones",Airbnb,2154.74,INR,2021-06-02,True,2021-12-24
29,Jones Ltd,Zillow,2092.34,INR,2021-03-07,True,2020-09-06
30,Flores LLC,Apartments.com,1220.91,EUR,2022-03-22,False,2022-05-23
31,Holloway-Bonilla,Zillow,1075.77,EUR,2020-01-12,True,2024-05-30
32,Gonzalez-Meyer,Zillow,2000.77,EUR,2024-10-22,False,2020-07-08
33,Gonzalez-Freeman,Zillow,1283.47,USD,2023-08-25,True,2023-04-15
34,Thomas-Skinner,Apartments.com,2952.99,USD,2022-03-04,False,2022-12-22
35,"Bradley, Taylor and Williams",Apartments.com,2433.99,EUR,2023-10-21,False,2023-09-07
36,Nash-Higgins,Zillow,3743.22,USD,2021-08-04,False,2021-10-17
37,"Vaughn, Meyer and Palmer",Realtor,3982.32,INR,2021-03-23,False,2022-06-08
38,"Lowery, Buchanan and Clark",Realtor,4764.45,USD,2020-08-28,True,2021-09-30
39,Lee-Leach,Realtor,2086.62,EUR,2024-08-20,False,2022-04-20
40,Daniels-Rasmussen,Zillow,4620.44,INR,2023-05-17,True,2021-05-18
41,Cook PLC,Zillow,2234.79,EUR,2020-05-07,False,2020-11-26
42,"Huang, Clark and Martinez",Airbnb,3713.82,EUR,2023-05-30,True,2022-08-02
43,"Oneill, Mitchell and Velazquez",Airbnb,2520.98,EUR,2024-02-27,True,2021-01-06
44,"Smith, Reid and Brown",Apartments.com,3673.16,INR,2022-03-25,True,2024-07-17
45,"Phillips, Vaughn and Lamb",Craigslist,2763.41,EUR,2024-09-28,False,2021-09-29
46,Baker Ltd,Airbnb,4616.31,INR,2020-03-15,False,2023-01-01
47,Flores LLC,Zillow,4860.94,EUR,2021-08-04,False,2024-10-29
48,Ross-Hall,Zillow,1876.36,INR,2022-06-12,True,2021-05-12
49,"Schneider, Larson and Rivera",Apartments.com,2866.57,EUR,2021-03-14,True,2023-05-04
50,"Edwards, Smith and Davis",Apartments.com,3530.49,USD,2021-10-14,True,2024-10-23
51,Dominguez-Price,Airbnb,4625.14,EUR,2021-05-20,False,2021-07-15
52,"Brown, Wilson and Taylor",Airbnb,4442.55,USD,2021-01-24,False,2021-01-22
53,"Sullivan, Jimenez and Lyons",Realtor,4973.24,USD,2023-01-26,False,2024-04-10
54,"Fletcher, Brown and Vazquez",Apartments.com,1912.37,EUR,2022-02-05,False,2020-05-24
55,Stokes PLC,Realtor,1560.44,INR,2021-05-17,False,2023-03-30
56,"Rowland, Johnson and Williams",Realtor,3493.97,INR,2023-09-20,True,2021-10-15
57,"Pruitt, Jones and Wilson",Airbnb,3937.28,EUR,2024-04-01,False,2021-06-02
58,Cook and Sons,Airbnb,4471.94,EUR,2023-05-28,True,2020-09-12
59,Rivera PLC,Craigslist,3938.95,EUR,2020-02-01,False,2024-06-15
60,Olson-Hodge,Realtor,2551.9,INR,2025-03-06,False,2020-07-06
61,"Edwards, Lynch and Rivera",Apartments.com,2098.41,EUR,2024-04-27,False,2020-06-22
62,Shaffer and Sons,Realtor,4632.02,USD,2025-02-12,False,2020-02-17
63,"Moore, Mckee and Carey",Airbnb,4200.87,INR,2023-04-03,False,2023-11-29
64,"Massey, Hendrix and Guerra",Realtor,1451.51,USD,2022-07-26,True,2021-10-13
65,Miller-Collins,Airbnb,2929.6,EUR,2022-02-16,False,2022-06-23
66,"Montgomery, Thompson and White",Realtor,3636.9,EUR,2021-05-17,False,2021-01-23
67,Walker-Williams,Craigslist,4670.85,INR,2023-09-23,True,2024-08-29
68,Fowler-Suarez,Realtor,3323.5,USD,2024-01-11,False,2025-02-05
69,Howard and Sons,Zillow,1062.55,EUR,2023-09-26,True,2021-09-15
70,Nolan-Coffey,Realtor,1376.68,USD,2024-01-04,False,2021-07-03
71,Johnson-Goodwin,Airbnb,1615.81,INR,2020-02-22,True,2023-03-14
72,"Raymond, Bennett and Burton",Apartments.com,4908.33,EUR,2024-09-18,False,2022-04-27
73,"Lee, Edwards and Donaldson",Realtor,2214.51,EUR,2023-01-24,True,2024-08-15
74,Salazar-Pierce,Realtor,2669.56,EUR,2020-11-26,True,2025-02-28
75,Mccoy Group,Realtor,1567.68,INR,2022-04-01,False,2023-11-01
76,Robinson-Perez,Apartments.com,3964.71,USD,2020-12-18,False,2025-01-06
77,Blevins-Mahoney,Apartments.com,2713.68,USD,2020-04-09,False,2022-05-13
78,Mcgee and Sons,Zillow,1023.05,EUR,2020-10-18,True,2023-09-11
79,Young and Sons,Apartments.com,1299.11,INR,2020-06-24,False,2024-01-16
80,"Meyer, Parks and Owens",Airbnb,4933.27,EUR,2021-10-23,True,2020-08-27
81,Petersen-Rogers,Realtor,3877.95,INR,2023-04-12,False,2022-09-15
82,Lane-Olson,Craigslist,4990.89,USD,2023-08-25,False,2023-12-22
83,Nash LLC,Apartments.com,2440.41,USD,2021-04-27,False,2022-11-11
84,"Madden, Carroll and Wright",Airbnb,4867.2,INR,2025-02-25,True,2021-07-13
85,Stephens Inc,Apartments.com,2147.85,USD,2022-01-04,True,2023-07-02
86,"Martin, Williams and Perkins",Airbnb,4469.77,USD,2022-07-11,False,2022-01-25
87,"Martinez, Johnson and Reeves",Zillow,4299.73,INR,2024-04-23,True,2024-12-01
88,Werner-Hicks,Airbnb,4425.18,INR,2025-02-23,False,2021-07-15
89,"Jackson, Fox and Mills",Apartments.com,2635.93,USD,2021-03-07,False,2020-02-29
90,Cardenas Ltd,Apartments.com,1807.88,EUR,2024-12-12,True,2020-06-27
91,Martin-Turner,Craigslist,1497.48,EUR,2022-06-18,False,2022-04-23
92,Jones-Jones,Craigslist,1641.45,EUR,2020-07-09,True,2022-04-26
93,"Henry, Liu and Neal",Realtor,1684.72,INR,2022-02-26,True,2025-03-04
94,"Green, Acosta and Chavez",Craigslist,3379.8,INR,2021-03-06,True,2024-10-06
95,Novak LLC,Realtor,4651.17,EUR,2020-10-10,True,2023-07-30
96,Shelton-Miranda,Airbnb,3682.93,INR,2023-09-15,False,2025-01-24
97,Parrish-Serrano,Apartments.com,3152.88,INR,2022-12-24,True,2021-02-08
98,Hill-Perry,Airbnb,2798.42,USD,2023-05-16,True,2022-02-03
99,"Rollins, Snyder and Harrell",Craigslist,1717.04,USD,2023-02-19,False,2024-11-26
100,"Long, Hawkins and Kennedy",Apartments.com,4423.6,USD,2023-08-25,False,2023-11-04
101,Parker-Gibson,Craigslist,2279.74,EUR,2022-02-06,False,2020-02-13
102,"Baker, Vega and Johnson",Zillow,2065.87,EUR,2024-07-11,True,2020-09-05
103,"Taylor, Smith and Salazar",Realtor,2026.99,USD,2022-05-19,False,2021-10-29
104,Griffin Inc,Realtor,2643.62,INR,2024-03-04,True,2021-09-15
105,"Gibson, Campbell and Gilbert",Apartments.com,1136.14,INR,2022-09-27,False,2021-01-25
106,"Edwards, Carlson and Lyons",Realtor,1491.74,EUR,2023-03-25,True,2022-07-30
107,Scott-Lowery,Realtor,1319.49,USD,2021-09-15,False,2020-11-02
108,Peck-Cooper,Zillow,4858.67,USD,2023-02-05,True,2024-09-28
109,Dalton Inc,Realtor,4314.07,EUR,2020-03-22,True,2023-08-17
110,Henry and Sons,Zillow,4670.45,EUR,2022-08-10,True,2023-02-07
111,"Macdonald, Webb and Ellis",Apartments.com,4756.57,USD,2024-05-29,False,2023-12-15
112,Walls-Melton,Realtor,3186.82,INR,2024-06-28,False,2020-08-06
113,"Cooper, Patel and Medina",Craigslist,3957.09,USD,2021-10-22,False,2021-06-27
114,Bender Ltd,Craigslist,4023.1,INR,2022-04-10,False,2023-04-16
115,Adams-Jones,Airbnb,3114.29,USD,2022-03-13,True,2023-01-20
116,Chavez PLC,Craigslist,2572.84,USD,2020-11-07,True,2021-08-20
117,"King, Walter and Mckinney",Apartments.com,3628.88,EUR,2024-10-28,False,2021-12-17
118,"Bauer, Watts and Ramirez",Realtor,3271.69,INR,2024-01-04,False,2022-05-03
119,Carter-Mcdonald,Apartments.com,3686.01,EUR,2022-12-04,False,2021-09-13
120,Brown-Logan,Zillow,1507.85,INR,2022-01-04,False,2020-01-31
121,Thompson-Miller,Apartments.com,4859.52,USD,2025-01-01,False,2023-02-24
122,Harvey-Garcia,Apartments.com,3124.39,USD,2020-08-06,True,2020-03-25
123,Rice PLC,Apartments.com,1062.99,INR,2023-08-07,False,2020-07-08
124,Wright-Davis,Craigslist,4901.52,EUR,2021-02-23,False,2021-08-12
125,Yates-Frank,Zillow,2125.33,USD,2024-02-08,False,2023-02-15
126,Duncan Group,Apartments.com,2408.58,INR,2021-09-30,True,2021-08-31
127,Carroll Ltd,Craigslist,1785.44,EUR,2024-12-11,True,2024-07-09
128,Schneider-Patterson,Zillow,2658.97,USD,2021-04-12,True,2021-06-24
129,Ryan-Cox,Apartments.com,2681.36,INR,2024-01-19,False,2023-11-05
130,Mcbride-Hernandez,Airbnb,1187.85,USD,2020-02-08,True,2020-01-14
131,"Carter, Mitchell and Williams",Craigslist,4598.95,INR,2022-07-29,False,2025-01-21
132,Keller-Guerra,Realtor,2511.48,EUR,2024-12-09,True,2022-07-03
133,"Donaldson, Mcdowell and Roberts",Airbnb,4304.08,INR,2022-04-01,False,2025-02-09
134,Stanley-Carter,Realtor,3059.4,EUR,2020-07-05,True,2021-12-15
135,"Foster, Stewart and Carter",Realtor,2760.48,USD,2022-03-31,False,2021-07-26
136,Reilly-Huynh,Zillow,2506.15,USD,2020-04-21,True,2024-05-09
137,"Rowland, Davis and Smith",Craigslist,1569.2,INR,2024-05-12,False,2021-04-17
138,Osborn-Mack,Realtor,4100.63,EUR,2021-08-15,False,2024-10-22
139,Castillo-Peterson,Zillow,2624.77,EUR,2020-08-03,False,2023-06-14
140,Smith-Phillips,Airbnb,1270.77,EUR,2020-11-01,True,2024-09-02
141,Alvarez-Myers,Craigslist,2953.14,EUR,2022-02-02,True,2023-09-20
142,Dyer-Arnold,Realtor,1337.72,INR,2023-12-29,False,2021-08-28
143,Wood-Stanley,Airbnb,4595.04,EUR,2020-02-19,True,2024-11-08
144,Carroll PLC,Realtor,3359.07,USD,2022-08-06,True,2022-08-23
145,Stephenson LLC,Craigslist,2424.6,INR,2024-05-15,True,2020-02-11
146,"Saunders, Lopez and Campbell",Craigslist,1805.31,USD,2024-06-24,False,2022-06-26
147,Dalton-Ellis,Zillow,4525.51,INR,2022-06-02,True,2022-01-18
148,Cook-Lawrence,Airbnb,1186.14,USD,2023-11-22,True,2020-08-23
149,Peters-Adams,Zillow,2801.26,EUR,2021-05-19,False,2023-08-15
150,"White, Guzman and Stewart",Airbnb,3360.16,INR,2024-05-07,True,2021-03-23
151,"Armstrong, Adams and Johnson",Craigslist,3685.86,USD,2021-01-27,True,2021-09-29
152,"Ayers, Bradshaw and Jackson",Craigslist,3464.28,EUR,2023-07-26,False,2023-03-30
153,Allison-Taylor,Craigslist,1000.46,INR,2022-08-05,False,2022-07-31
154,Greene-Garrett,Apartments.com,1737.92,INR,2023-09-12,True,2024-02-07
155,Lyons PLC,Apartments.com,1961.13,USD,2023-03-09,True,2020-11-16
156,"Baker, Nichols and Chan",Realtor,3860.47,EUR,2021-02-28,False,2020-10-16
157,Price LLC,Airbnb,4486.8,EUR,2024-02-27,True,2020-10-04
158,"Sanchez, Brooks and Cunningham",Apartments.com,3259.28,USD,2023-05-28,False,2024-08-24
159,White LLC,Apartments.com,1834.3,USD,2022-02-28,True,2024-08-14
160,Spence-Henderson,Zillow,1807.72,EUR,2020-08-08,False,2022-01-14
161,"Melendez, Jones and Allen",Apartments.com,2170.07,INR,2025-01-26,False,2020-07-19
162,"Carney, Weber and Bird",Zillow,2640.95,USD,2023-05-17,False,2024-02-04
163,Conley-Gonzales,Craigslist,3079.59,INR,2021-12-08,True,2024-08-16
164,Warner-Smith,Apartments.com,3495.11,USD,2021-04-16,False,2021-09-06
165,Reyes and Sons,Zillow,1629.95,USD,2022-09-30,False,2023-10-11
166,Kennedy Group,Apartments.com,3707.66,INR,2021-02-21,False,2023-01-10
167,Pope Ltd,Airbnb,3473.25,INR,2024-04-01,True,2022-12-30
168,Wright-Cook,Apartments.com,3187.46,USD,2023-10-13,False,2020-05-08
169,Charles Group,Realtor,1330.27,USD,2024-11-29,True,2021-06-06
170,Hurst-Calderon,Zillow,4224.0,USD,2023-04-08,True,2022-09-17
171,Horn-Peterson,Craigslist,3755.72,EUR,2022-02-03,True,2022-11-16
172,Crawford-Miller,Airbnb,3253.42,EUR,2020-04-20,True,2024-04-21
173,Zavala-Sparks,Apartments.com,2010.6,USD,2022-03-05,False,2024-09-22
174,"Ray, Cervantes and Sanchez",Airbnb,2453.17,INR,2024-05-31,True,2021-11-27
175,Middleton and Sons,Realtor,2160.46,EUR,2020-02-02,False,2024-02-06
176,"Roberson, Murray and George",Craigslist,4977.54,INR,2025-03-15,True,2020-12-26
177,Jensen Group,Apartments.com,4737.56,EUR,2024-10-14,True,2024-05-28
178,Perry-Mullen,Zillow,4725.33,INR,2020-10-30,True,2020-07-29
179,Ray-Porter,Apartments.com,1888.96,USD,2022-10-07,False,2025-03-08
180,Mcdaniel-Schmidt,Airbnb,2379.22,EUR,2021-01-17,True,2022-01-22
181,"Willis, Gutierrez and Chapman",Airbnb,4996.28,USD,2024-03-02,False,2021-04-10
182,Barnes LLC,Airbnb,2171.73,EUR,2023-07-01,True,2025-03-10
183,Hawkins Inc,Craigslist,4450.63,USD,2021-07-05,False,2023-04-07
184,Gomez and Sons,Zillow,2185.11,USD,2023-01-23,True,2025-03-20
185,"Brown, Rojas and Armstrong",Apartments.com,3723.88,EUR,2022-06-10,False,2020-09-20
186,Schwartz-Gilbert,Zillow,1080.65,USD,2023-04-02,True,2021-07-15
187,Rich Ltd,Airbnb,2420.21,INR,2023-05-18,False,2020-04-05
188,Meyer-Martinez,Zillow,4907.06,INR,2022-07-25,False,2020-02-03
189,"Whitehead, Mcneil and Harris",Realtor,4368.12,INR,2020-02-04,False,2021-02-07
190,Nelson-Jones,Apartments.com,1523.34,INR,2024-07-04,False,2021-10-07
191,Munoz-Smith,Craigslist,1016.24,EUR,2021-08-01,True,2020-11-28
192,"Dillon, Miller and Haynes",Realtor,4228.04,EUR,2022-01-20,True,2023-04-05
193,"Johnson, Robinson and Wood",Realtor,4518.68,USD,2021-12-25,False,2025-01-31
194,Harrington PLC,Craigslist,3833.62,USD,2022-12-12,True,2023-10-18
195,Galloway-Daugherty,Airbnb,2769.18,USD,2024-03-02,False,2022-06-04
196,Williams-Davidson,Zillow,2259.96,USD,2020-11-16,True,2023-04-24
197,Hammond Group,Airbnb,1103.94,EUR,2020-06-20,True,2020-07-19
198,"Drake, Walsh and Palmer",Airbnb,2630.71,EUR,2021-02-02,True,2023-09-19
199,Jones-Morrison,Airbnb,2591.57,USD,2024-09-06,False,2020-07-06
200,"Nixon, Diaz and Erickson",Craigslist,1352.46,USD,2024-10-13,False,2021-07-19
201,Powell and Sons,Zillow,2626.41,USD,2020-10-12,True,2025-01-04
202,Padilla-Carter,Zillow,1647.82,INR,2024-04-20,False,2022-12-31
203,Russell-Schmidt,Craigslist,2522.3,EUR,2024-09-14,False,2023-04-04
204,"Martinez, Santos and Vasquez",Airbnb,2596.41,USD,2021-12-16,True,2024-03-19
205,"White, Barker and Luna",Craigslist,3554.75,EUR,2021-08-18,False,2023-03-21
206,Miller-Key,Apartments.com,4836.68,INR,2023-07-31,True,2024-01-19
207,Wood Ltd,Airbnb,2263.31,INR,2023-08-08,False,2022-02-23
208,"Boyd, Stewart and Hernandez",Realtor,2863.01,EUR,2024-11-21,False,2023-11-07
209,"Cooper, Johnson and Pierce",Apartments.com,3226.74,USD,2023-12-16,True,2024-12-01
210,Silva LLC,Airbnb,2189.1,INR,2023-08-23,True,2024-08-17
211,Thomas Ltd,Apartments.com,2815.58,USD,2022-11-23,True,2021-12-03
212,"Park, Hunter and Webb",Realtor,1838.36,EUR,2021-10-24,False,2022-09-11
213,Cox PLC,Craigslist,1934.4,INR,2024-01-17,True,2023-08-25
214,Dillon PLC,Airbnb,4343.8,INR,2022-08-27,False,2023-01-29
215,Guerra and Sons,Realtor,4682.47,USD,2024-06-04,True,2022-04-19
216,Woods-Burton,Apartments.com,1255.11,USD,2023-12-02,False,2020-03-09
217,Austin-Vasquez,Apartments.com,4073.55,USD,2020-04-17,True,2022-06-27
218,"Townsend, Baker and Lawrence",Apartments.com,3306.5,INR,2022-12-24,True,2021-11-19
219,Miranda PLC,Airbnb,2570.04,USD,2020-06-22,False,2024-09-10
220,Lawson-Ramirez,Apartments.com,3952.85,INR,2023-05-14,True,2021-06-06
221,Hunter-Morse,Airbnb,3480.36,EUR,2020-08-15,False,2022-02-27
222,Jones Inc,Realtor,4677.25,EUR,2025-02-23,False,2024-06-26
223,"Lowery, Humphrey and Grimes",Zillow,3741.46,USD,2021-08-13,True,2021-02-08
224,"Brown, Martin and Lewis",Apartments.com,3521.31,EUR,2021-01-27,True,2024-07-17
225,Cervantes PLC,Zillow,1407.05,INR,2020-02-11,True,2021-08-27
226,"Davis, George and Johnston",Airbnb,3639.62,EUR,2021-08-20,True,2023-04-22
227,Sanders LLC,Zillow,2993.6,INR,2022-06-28,False,2024-04-27
228,"Sparks, Meyer and Coleman",Craigslist,2672.33,INR,2021-05-20,True,2023-12-02
229,Castillo-Gentry,Craigslist,3873.85,INR,2020-07-15,False,2020-01-15
230,Stephens-Adams,Realtor,4150.79,USD,2020-07-04,False,2020-12-28
231,"Hernandez, Lowery and Oneill",Zillow,4554.82,USD,2023-07-26,False,2024-04-30
232,"Mccarty, Douglas and Velazquez",Craigslist,2299.28,INR,2021-12-10,True,2024-10-29
233,Burke PLC,Realtor,2647.6,EUR,2021-02-20,True,2023-10-22
234,"Gallegos, Robbins and Case",Craigslist,3100.3,INR,2024-12-14,False,2024-01-26
235,"Stevens, Walker and Burch",Realtor,2492.02,EUR,2021-12-25,False,2020-05-24
236,Craig Ltd,Apartments.com,3531.82,USD,2020-11-12,False,2020-01-13
237,Harrington-Carter,Airbnb,1605.96,USD,2020-02-27,True,2020-04-29
238,"Mueller, Perez and Burgess",Airbnb,1439.27,USD,2023-06-24,True,2021-03-25
239,Gonzales LLC,Realtor,2153.8,EUR,2023-12-04,True,2022-08-07
240,"Pierce, Everett and Schmitt",Airbnb,4617.93,EUR,2021-06-03,True,2023-06-13
241,"Mason, Collins and Johnson",Apartments.com,2898.88,INR,2023-05-12,False,2021-12-20
242,Nicholson-Brown,Airbnb,2024.09,USD,2022-01-11,True,2022-09-24
243,Long-Morales,Airbnb,1066.75,USD,2024-09-30,False,2024-04-23
244,Adams Group,Zillow,3248.94,INR,2021-02-24,False,2023-03-25
245,"Phelps, Rice and Walters",Apartments.com,3830.01,USD,2020-05-29,False,2021-07-27
246,Mcfarland-Thompson,Apartments.com,1593.65,USD,2022-10-26,False,2022-01-24
247,"Cain, Holmes and Whitehead",Airbnb,2193.11,USD,2021-02-10,False,2022-05-20
248,"Herrera, Koch and Jordan",Airbnb,1728.69,USD,2024-09-01,False,2023-01-31
249,Frank Group,Zillow,1874.18,EUR,2022-12-15,False,2022-10-25
250,Santana-Lin,Realtor,1180.57,EUR,2024-06-24,False,2022-04-10
251,Bush-Coleman,Craigslist,3285.74,INR,2021-12-01,True,2024-12-10
252,Parker-Harris,Craigslist,4765.4,EUR,2024-01-23,False,2023-01-06
253,Wright Group,Apartments.com,2396.59,EUR,2024-09-01,False,2020-06-12
254,Hampton-Marquez,Zillow,1268.09,USD,2021-11-25,True,2022-12-23
255,Sims-Williams,Realtor,4863.52,INR,2022-08-22,False,2020-07-14
256,"Wright, Miller and Young",Airbnb,4297.73,INR,2023-03-19,False,2024-08-06
257,Holland Group,Craigslist,2293.81,EUR,2023-02-22,True,2020-03-28
258,Rich and Sons,Craigslist,3667.6,INR,2022-12-06,True,2021-08-31
259,"Sandoval, Williams and Murphy",Realtor,3736.92,EUR,2020-02-20,False,2020-10-02
260,"Anderson, Cooper and Robinson",Airbnb,1229.86,EUR,2024-12-22,False,2024-03-12
261,Eaton Ltd,Zillow,3332.43,EUR,2023-07-12,True,2021-01-19
262,"Anderson, Nguyen and Wagner",Zillow,3450.36,EUR,2023-10-26,True,2022-05-07
263,Davenport-Tran,Apartments.com,1278.39,USD,2022-06-04,False,2023-08-20
264,Haas-Alexander,Craigslist,3120.48,EUR,2024-01-07,False,2025-03-19
265,Snyder Inc,Apartments.com,2444.09,USD,2023-04-17,False,2020-07-01
266,"Jacobson, Smith and Sutton",Craigslist,3545.66,USD,2020-05-09,True,2024-04-10
267,Thomas-Miller,Airbnb,4638.65,EUR,2024-04-27,False,2023-03-14
268,"Henry, Frye and Schmidt",Realtor,1200.43,INR,2024-07-12,True,2024-03-01
269,Smith-Allen,Airbnb,4242.79,INR,2020-06-14,True,2023-01-02
270,Gillespie-Mcknight,Zillow,4231.43,EUR,2022-06-15,False,2022-04-20
271,Williams Inc,Zillow,1579.45,INR,2022-02-15,False,2020-04-25
272,Sanchez-Kerr,Airbnb,1164.67,EUR,2025-02-11,True,2021-09-27
273,"Bruce, Ford and Owens",Zillow,1124.67,USD,2022-06-21,False,2022-08-20
274,Harris-Jenkins,Craigslist,2840.21,INR,2023-02-08,True,2020-02-22
275,Moore Ltd,Zillow,3163.25,USD,2023-11-25,True,2023-08-31
276,Gordon Inc,Zillow,2267.37,USD,2020-04-24,True,2022-02-09
277,"Richmond, Kelly and Williams",Craigslist,2400.29,USD,2022-04-12,False,2021-06-28
278,Gomez-Ferguson,Craigslist,2735.4,INR,2022-06-27,False,2022-05-30
279,"Solomon, Allen and May",Craigslist,3638.68,EUR,2025-01-12,True,2021-08-22
280,"Kirk, Smith and Carlson",Apartments.com,3580.72,USD,2023-02-16,True,2022-12-13
281,"Strong, Brown and Murray",Craigslist,2993.39,EUR,2024-07-12,False,2024-11-13
282,Miranda and Sons,Realtor,3438.07,EUR,2020-01-23,True,2023-12-30
283,Walker-Esparza,Zillow,2960.07,INR,2023-06-01,True,2023-04-21
284,Nelson-Wong,Airbnb,3908.46,EUR,2021-01-25,True,2020-02-01
285,Lopez PLC,Realtor,4682.14,USD,2020-08-15,False,2025-02-17
286,Davis-Norris,Apartments.com,3446.1,INR,2021-05-25,False,2021-03-01
287,"Bowman, Walters and Mcgee",Zillow,1229.09,USD,2024-05-25,False,2023-02-23
288,"Edwards, Brown and Perez",Realtor,1678.32,EUR,2021-10-08,False,2024-04-23
289,Miller-Hale,Craigslist,3361.75,INR,2020-11-04,False,2022-11-15
290,Tran-Wagner,Realtor,1237.22,INR,2024-05-27,False,2022-11-20
291,Long-Rodriguez,Zillow,1225.91,USD,2020-01-16,True,2023-03-13
292,Rodriguez-Craig,Zillow,2166.16,USD,2023-08-09,True,2024-10-01
293,Stewart PLC,Realtor,1729.88,INR,2020-03-29,False,2022-10-22
294,Ibarra Ltd,Airbnb,4540.11,INR,2021-08-08,False,2022-07-08
295,Duffy PLC,Craigslist,4613.92,EUR,2021-01-14,False,2021-09-18
296,"Olson, Villegas and Warner",Craigslist,1963.13,INR,2024-10-02,True,2023-05-03
297,Mccormick-Newman,Realtor,4358.24,INR,2024-06-17,True,2023-10-26
298,Coleman Inc,Zillow,3864.94,USD,2022-05-26,True,2023-10-06
299,"Lee, Jordan and Osborn",Zillow,3194.79,EUR,2023-01-05,False,2022-03-15
300,"Smith, Morales and Rodriguez",Zillow,4121.22,USD,2024-07-05,True,2022-10-17
301,Blair Group,Craigslist,2674.67,USD,2024-04-02,False,2021-05-10
302,"Cole, Quinn and Thomas",Apartments.com,2071.96,EUR,2020-03-02,False,2023-05-05
303,"Harris, Mckenzie and Gilbert",Airbnb,4378.51,INR,2023-10-13,True,2022-03-09
304,Coleman-Wright,Airbnb,1284.0,EUR,2023-05-17,False,2023-12-13
305,Carrillo Ltd,Apartments.com,1261.88,USD,2022-10-12,True,2021-12-05
306,Walker-Rice,Craigslist,3964.74,USD,2021-05-09,True,2020-03-31
307,"Smith, Alexander and Garcia",Craigslist,4287.02,EUR,2021-12-30,True,2021-02-19
308,Lewis-Parker,Realtor,4811.65,USD,2020-07-09,True,2022-08-11
309,Riddle-Johnson,Airbnb,4839.0,EUR,2023-06-13,True,2021-01-31
310,Flores-Landry,Airbnb,1986.88,USD,2020-08-19,False,2025-02-09
311,Singh PLC,Zillow,4147.68,EUR,2023-12-06,True,2023-09-21
312,"Cantrell, Rojas and Guerrero",Apartments.com,3569.98,INR,2022-05-05,True,2024-08-11
313,Kaufman and Sons,Zillow,3225.1,EUR,2023-09-17,True,2021-03-06
314,Mitchell-Williams,Craigslist,4196.65,USD,2020-09-30,True,2020-08-09
315,Martin-King,Airbnb,2320.77,INR,2022-07-14,False,2020-11-26
316,"Thornton, Lopez and Hansen",Apartments.com,3994.09,EUR,2023-05-31,True,2022-01-10
317,"Larson, Manning and Williams",Zillow,4019.18,USD,2020-05-03,True,2020-10-17
318,"Perkins, Gardner and Newman",Craigslist,1486.02,INR,2022-03-21,True,2023-03-30
319,"Kelly, Parker and Rangel",Realtor,4359.58,INR,2023-07-20,False,2021-01-15
320,"Graham, Collins and Gutierrez",Realtor,2806.89,EUR,2020-05-01,True,2021-06-30
321,"Oconnor, Russell and Moore",Apartments.com,2987.14,EUR,2022-08-28,True,2024-03-05
322,Stewart-Werner,Craigslist,3346.44,USD,2023-10-06,False,2020-01-03
